T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
26.046,25.141,25.366,26.635,25.491,25.126,25.112,25.565,24.493,27.08,27.341,27.603,27.423,26.99,28.5,20.778,21.033,26.542,26.911,19.551
26.168,25.355,25.451,26.807,25.558,25.21,25.076,25.511,24.492,27.06,27.334,27.593,27.385,27.007,28.46,20.82,21.052,26.493,26.857,19.507
26.242,25.412,25.5,26.888,25.593,25.311,25.046,25.5,24.47,27.078,27.336,27.563,27.401,26.958,28.451,20.803,21.022,26.512,26.876,19.485
26.358,25.515,25.643,26.995,25.697,25.413,25.125,25.518,24.47,27.059,27.326,27.537,27.429,26.993,28.465,20.791,20.985,26.516,26.867,19.527
26.482,25.602,25.67,27.058,25.748,25.48,25.142,25.523,24.484,27.071,27.308,27.552,27.456,27.001,28.443,20.799,20.985,26.482,26.85,19.544
26.507,25.659,25.713,27.148,25.767,25.518,25.142,25.534,24.481,27.076,27.333,27.541,27.467,27.004,28.468,20.808,21.067,26.463,26.82,19.519
26.528,25.725,25.768,27.219,25.786,25.559,25.183,25.553,24.511,27.06,27.333,27.53,27.47,27.031,28.476,20.799,21.029,26.468,26.842,19.53
26.583,25.76,25.817,27.213,25.816,25.6,25.221,25.575,24.541,27.074,27.355,27.549,27.456,27.018,28.473,20.772,20.996,26.457,26.826,19.489
26.599,25.801,25.847,27.276,25.849,25.638,25.273,25.575,24.541,27.095,27.355,27.579,27.475,27.039,28.473,20.78,20.982,26.477,26.839,19.511
26.648,25.869,25.857,27.325,25.876,25.652,25.325,25.599,24.557,27.093,27.36,27.563,27.527,27.042,28.525,20.775,20.988,26.487,26.861,19.533
26.637,25.902,25.852,27.393,25.895,25.692,25.355,25.637,24.601,27.147,27.36,27.571,27.535,27.094,28.525,20.777,20.985,26.504,26.861,19.605
26.664,25.932,25.907,27.363,25.92,25.731,25.387,25.629,24.606,27.144,27.379,27.563,27.538,27.116,28.541,20.83,21.073,26.534,26.837,19.571
26.724,25.967,25.928,27.428,25.933,25.763,25.393,25.67,24.639,27.144,27.366,27.595,27.587,27.14,28.56,20.838,21.051,26.52,26.858,19.571
26.752,25.959,25.966,27.434,25.966,25.777,25.477,25.697,24.655,27.15,27.379,27.606,27.603,27.129,28.568,20.821,21.018,26.572,26.894,19.522
26.776,25.954,25.964,27.442,25.974,25.804,25.496,25.711,24.682,27.166,27.404,27.612,27.609,27.146,28.601,20.81,21.012,26.575,26.899,19.563
26.798,26.027,26.034,27.461,26.007,25.853,25.524,25.719,24.718,27.177,27.406,27.653,27.661,27.165,28.628,20.805,21.087,26.564,26.905,19.519
26.861,26.032,26.073,27.567,26.029,25.845,25.529,25.754,24.737,27.218,27.42,27.666,27.652,27.186,28.623,20.827,21.081,26.561,26.905,19.483
26.866,26.057,26.064,27.578,26.05,25.858,25.586,25.76,24.748,27.24,27.412,27.658,27.652,27.186,28.675,20.791,20.988,26.599,26.905,19.439
26.877,26.06,26.103,27.567,26.048,25.888,25.613,25.779,24.767,27.24,27.428,27.688,27.707,27.206,28.688,20.752,20.979,26.61,26.935,19.448
26.893,26.117,26.1,27.583,26.091,25.937,25.706,25.82,24.789,27.261,27.439,27.721,27.682,27.219,28.718,20.794,20.977,26.654,26.978,19.522
26.939,26.122,26.146,27.594,26.102,25.929,25.728,25.844,24.8,27.272,27.442,27.732,27.707,27.227,28.715,20.741,20.985,26.683,27.005,19.525
26.942,26.117,26.13,27.608,26.099,25.943,25.755,25.841,24.81,27.28,27.455,27.718,27.729,27.233,28.756,20.766,20.971,26.711,27.011,19.516
26.967,26.207,26.171,27.627,26.127,25.97,25.818,25.863,24.83,27.308,27.469,27.756,27.78,27.295,28.754,20.786,20.993,26.708,27.019,19.538
26.98,26.196,26.146,27.709,26.148,25.986,25.859,25.885,24.84,27.297,27.472,27.772,27.786,27.29,28.786,20.733,21.001,26.738,27.011,19.426
27.008,26.136,26.231,27.662,26.154,26,25.867,25.92,24.873,27.346,27.494,27.789,27.799,27.317,28.797,20.764,21.029,26.732,27.019,19.467
27.013,26.167,26.201,27.713,26.156,26.06,25.895,25.939,24.93,27.387,27.524,27.808,27.872,27.411,28.851,20.776,21.091,26.779,27.04,19.59
27.03,26.252,26.221,27.75,26.161,26.063,25.872,25.959,24.947,27.427,27.553,27.857,27.878,27.401,28.894,20.79,21.075,26.795,27.064,19.565
27.031,26.308,26.265,27.84,26.231,26.094,25.943,26.017,24.994,27.454,27.556,27.894,27.961,27.454,28.915,20.844,21.11,26.827,27.102,19.52
27.141,26.325,26.366,27.811,26.289,26.15,26.014,26.02,25.044,27.473,27.606,27.925,27.95,27.443,28.966,20.847,21.025,26.905,27.158,19.522
27.133,26.37,26.364,27.88,26.306,26.177,26.025,26.068,25.08,27.528,27.633,27.96,28.001,27.508,28.993,20.802,21.065,26.839,27.169,19.453
27.174,26.387,26.378,27.875,26.323,26.196,26.044,26.07,25.072,27.531,27.671,27.985,28.039,27.511,29.015,20.813,21.101,26.885,27.183,19.481
27.22,26.376,26.394,27.921,26.336,26.188,26.106,26.1,25.094,27.558,27.665,28.007,28.023,27.492,29.045,20.808,21.037,26.915,27.202,19.536
27.201,26.427,26.389,27.88,26.372,26.223,26.134,26.13,25.113,27.61,27.684,28.034,28.056,27.546,29.075,20.799,21.037,26.942,27.223,19.467
27.242,26.449,26.429,27.924,26.353,26.234,26.221,26.146,25.118,27.61,27.679,28.05,28.096,27.557,29.124,20.791,21.015,26.964,27.242,19.434
27.255,26.455,26.402,27.94,26.369,26.262,26.262,26.171,25.135,27.64,27.701,28.064,28.121,27.609,29.138,20.824,21.037,26.997,27.267,19.47
27.296,26.46,26.446,28.006,26.396,26.272,26.267,26.179,25.184,27.692,27.739,28.105,28.159,27.663,29.154,20.805,21.068,26.972,27.267,19.497
